Label,Synonyms,Parent(s),Children,RelatedTo
%,,,,mobile phase; sample
2D chromatography,,chromatography type,,equipment
abundance,amount; Occurrence; quantity,,,
acetic acid,,,,mobile phase
Acetonitrile,AcN,,,mobile phase
acid,,,,mobile phase
affinity chromatography,,chromatography type,,equipment
agilent,,,,equipment
Akta,,,,equipment
alditol acetate,,,,
aluminium cap,,,,
amide,,,,
ammonia,,,,mobile phase
analytical LC,,,,equipment
anion exchange,RP-UPLC; RP,chromatography type,HPAEC,equipment
anorganic aqueous solution,,,,mobile phase
arabinose,,,,sample
area,,,,
authentic standard,,,,
autosampler,,,,
bar,,,,equipment
BEH,,,,properties of the column run; equipment
BEH AMIDE Column,,,,properties of the column run; equipment
brand,manufacturer; company,,,
buffer,,,,mobile phase
C-18,C18,,,properties of the column run; equipment
C4,C-4,,,properties of the column run; equipment
C-8,C8,,,properties of the column run; equipment
calibration,,,,pre run process
Calibration curve,,,,
calibration samples,Calibrant,,,
carbopac,,,,
catalyst,,,,sample
cation exchange,,chromatography type,,
cellulose,,,,sample
centrifuge,,,,sample
channel,,,,equipment
charge,,,,
chromatography type,,,2D chromatography; anion exchange; ligand binding chromatography; reversed phase; cation exchange; affinity chromatography; hydrophobic interaction chromatography; SEC,equipment
chromeleon,,,,post run process
cid,,,,
cleaning,,,,sample
cm/h,,,,
CO2,carbon dioxide,,,
co-elution,,,,properties of the column run; equipment
column dimentions,,,,equipment
column output,,,,fractionation; post run process; graph; fraction collector; identification; fraction size; DLS; Fluorescence; fraction volume; PDA; curve; detector
column oven,,,,equipment
column temperature,,,,properties of the column run
combustion,,,,equipment
concentration,,,,sample
conductivity,,,,properties of the column run; equipment
control,comparison; standards; external standard; internal standard; blank,,,
copper,,,,
country,,,,sample
curve,,,,column output
cut off,,,,
CV,column volume,,,mobile phase
desalting column,,,,equipment
detection,,,,equipment
detector,,,,post run process; equipment; column output
difficult,,,,
dilute,,,,sample
dionex,,,,equipment
disperse,,,,sample
dissolve,,,,mobile phase; sample
distilled water,,,,mobile phase
DLS,dynamic light scattering,,,equipment; column output
drymatter,DM; DB; dry-matter,,,sample
dumas,,,,equipment
duplicate,in duplo,,,sample
elution volume,,,,properties of the column run; equipment
equilibrate,equilibration,,,pre run process
equilibrium,,,,equipment; pre run process
equipment,,,,resolution; HPSEC; guard column; exclusion volume; injection volume; injection; Akta; tray temperature; column dimentions; Hilic; C-18; oven; 2D chromatography; RI; dionex; equilibrium; anion exchange; C-8; HPAEC; pre-column; waters; ion exchange; needle wash; valve; detection; Xcalibur; BEH AMIDE Column; conductivity; signal; silica; stationary phase; BEH; isocratic; vial; fraction collector; pressure; ligand binding chromatography; bar; pressure detector; wavelength; mass spectroscopy; pump; DLS; Fluorescence; sequence; UV; U(H)PLC; reversed phase; normal phase; High performance LC; light scattering; vials; purging; co-elution; elution volume; channel; MALLS; chromatography type; affinity chromatography; temperature; fraction volume; column oven; desalting column; hydrophobic interaction chromatography; retention time; software; analytical LC; C4; agilent; dumas; run time; PDA; integration; size; heater; Thermo scientific; sample tray; syringe; GC-MS; pore size; flow rate; vacuum; de
equivalent,,,,
exclusion volume,,,,equipment
